"IN","STR","UNIT","RXNORM_CUI","VA_CLS","VA_CLS_CD"
"azathioprine",50,"MG",105611,"IMMUNE SUPPRESSANTS","IM600"
"venlafaxine",75,"MG",729929,"ANTIDEPRESSANTS,OTHER","CN609"
"venlafaxine",37.5,"MG",729932,"ANTIDEPRESSANTS,OTHER","CN609"
"angiotensin II",2.5,"MG",1999012,"CARDIOVASCULAR AGENTS,OTHER","CV900"
"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine",0.07,"MG",1300810,"IMMUNE STIMULANTS","IM700"
"voriconazole",200,"MG",352220,"ANTIFUNGALS","AM700"
"ascorbic acid",500,"MG",2002739,"VITAMIN C","VT400"
"metoclopramide",5,"MG",311670,"PARASYMPATHOMIMETICS (CHOLINERGICS)","AU300"
"thrombin",2000,"UNT",757667,"ANTIHEMORRHAGICS","BL116"
"levothyroxine",0.15,"MG",966296,"THYROID SUPPLEMENTS","HS851"
"insulin aspart, human",100,"UNT",351926,"INSULIN","HS501"
"adenosine",3,"MG",1654037,"ANTIARRHYTHMICS","CV300"
"ceftaroline fosamil",600,"MG",1040016,"BETA-LACTAMS ANTIMICROBIALS,OTHER","AM119"
"dextroamphetamine",1.25,"MG",541879,"AMPHETAMINES","CN801"
"amphetamine",1.25,"MG",541879,"AMPHETAMINES","CN801"
"dextroamphetamine",2.5,"MG",541894,"AMPHETAMINES","CN801"
"amphetamine",2.5,"MG",541894,"AMPHETAMINES","CN801"
"calcitriol",0.00025,"MG",209006,"CALCITRIOL","VT502"
"calcitriol",5e-04,"MG",209007,"CALCITRIOL","VT502"
"acetazolamide",500,"MG",307702,"CARBONIC ANHYDRASE INHIBITOR DIURETICS","CV703"
"warfarin",2,"MG",855306,"ANTICOAGULANTS","BL110"
"sertraline",50,"MG",208161,"ANTIDEPRESSANTS,OTHER","CN609"
"sertraline",25,"MG",212233,"ANTIDEPRESSANTS,OTHER","CN609"
"metronidazole",5,"MG",311683,"ANTI-INFECTIVES,OTHER","AM900"
"aztreonam",1000,"MG",1664984,NA,NA
"nitroprusside",25,"MG",207678,"ANTIHYPERTENSIVES,OTHER","CV490"
"mesna",100,"MG",899350,"ANTIDOTES/DETERRENTS,OTHER","AD900"
"caspofungin",70,"MG",828541,"ANTIFUNGALS","AM700"
"cyclophosphamide",1000,"MG",1734919,"ANTINEOPLASTICS,ALKYLATING AGENTS","AN100"
"vincristine",1,"MG",1863347,"ANTINEOPLASTIC,OTHER","AN900"
"potassium chloride",1.33,"MEQ",208958,"POTASSIUM","TN430"
"aluminum hydroxide",40,"MG",243463,"ALUMINUM/MAGNESIUM CONTAINING ANTACIDS","GA103"
"magnesium hydroxide",40,"MG",243463,"MAGNESIUM CONTAINING ANTACIDS","GA108"
"methotrexate",25,"MG",1946772,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"cytarabine",100,"MG",249364,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"leucovorin",10,"MG",311282,"FOLIC ACID/LEUCOVORIN","VT102"
"lorazepam",2,"MG",206819,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"oxycodone",5,"MG",1050419,"OPIOID ANALGESICS","CN101"
"acetaminophen",325,"MG",209390,"NON-OPIOID ANALGESICS","CN103"
"dobutamine",12.5,"MG",1812168,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"hydromorphone",2,"MG",1724279,"OPIOID ANALGESICS","CN101"
"fluconazole",2,"MG",1721315,"ANTIFUNGALS","AM700"
"famotidine",10,"MG",206864,"HISTAMINE ANTAGONISTS","GA301"
"glucose",50,"MG",1795344,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium chloride",9,"MG",1795344,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"calcium chloride",0.004,"MEQ",806396,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium acetate",0.0475,"MEQ",806396,"IV SOLUTIONS WITH ELECTROLYTES","TN102"
"sodium citrate",0.012,"MEQ",806396,"CITRATES","TN478"
"magnesium chloride",0.003,"MEQ",806396,"MAGNESIUM","TN460"
"potassium chloride",0.01,"MEQ",806396,"POTASSIUM","TN430"
"sodium chloride",0.109,"MEQ",806396,"NASAL AND THROAT,TOPICAL,OTHER","NT900"
"lidocaine",40,"MG",1010846,"LOCAL ANESTHETICS,INJECTION","CN204"
"lidocaine",40,"MG",1010846,"ANTIARRHYTHMICS","CV300"
"docetaxel",40,"MG",151284,"ANTINEOPLASTIC,OTHER","AN900"
"lidocaine",20,"MG",1013048,"LOCAL ANESTHETICS,INJECTION","CN204"
"hyaluronidase",150,"UNT",542925,"MISCELLANEOUS AGENTS","XX000"
"lidocaine",10,"MG",1010035,"LOCAL ANESTHETICS,INJECTION","CN204"
"levofloxacin",500,"MG",211816,"QUINOLONES","AM400"
"levofloxacin",250,"MG",211815,"QUINOLONES","AM400"
"carmustine",100,"MG",105552,"ANTINEOPLASTICS,ALKYLATING AGENTS","AN100"
"chlorpromazine",25,"MG",1730078,"PHENOTHIAZINE/RELATED ANTIPSYCHOTICS","CN701"
"etesevimab",35,"MG",2477902,NA,NA
"valproate",125,"MG",1099626,"ANTICONVULSANTS","CN400"
"etoposide",20,"MG",206832,NA,NA
"melphalan",50,"MG",1745090,"ANTINEOPLASTICS,ALKYLATING AGENTS","AN100"
"water",1000,"MG",150985,"IRRIGATION SOLUTIONS","IR100"
"sodium ferric gluconate complex",12.5,"MG",261123,"IRON","TN410"
"guaifenesin",600,"MG",891301,"NON-OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE302"
"pseudoephedrine",120,"MG",1111816,"DECONGESTANTS,SYSTEMIC","RE200"
"docetaxel",10,"MG",1093280,"ANTINEOPLASTIC,OTHER","AN900"
"gemcitabine",38,"MG",1720960,"ANTINEOPLASTIC,OTHER","AN900"
"hydrogen peroxide",30,"MG",210535,NA,NA
"doxorubicin",50,"MG",1790095,"ANTINEOPLASTIC ANTIBIOTICS","AN200"
"lidocaine",20,"MG",1013040,"ANESTHETICS,MUCOSAL","NT300"
"prednisone",1,"MG",206755,"GLUCOCORTICOIDS","HS051"
"cytarabine",20,"MG",105580,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"botulinum toxin type A",100,"UNT",860195,"MUSCULOSKELETAL AGENTS,OTHER","MS900"
"mannitol",250,"MG",311450,"DIURETICS,OTHER","CV709"
"hyaluronidase",150,"UNT",630939,"MISCELLANEOUS AGENTS","XX000"
"gabapentin",400,"MG",105030,"ANTICONVULSANTS","CN400"
"acetaminophen",500,"MG",209890,"NON-OPIOID ANALGESICS","CN103"
"acetaminophen",325,"MG",209374,"NON-OPIOID ANALGESICS","CN103"
"acetaminophen",500,"MG",209445,"NON-OPIOID ANALGESICS","CN103"
"acetaminophen",650,"MG",209365,"NON-OPIOID ANALGESICS","CN103"
"acetylcysteine",200,"MG",213633,"HERBS/ALTERNATIVE THERAPIES","HA000"
"albuterol",0.83,"MG",213783,"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION","RE102"
"acetazolamide",250,"MG",202131,"CARBONIC ANHYDRASE INHIBITOR DIURETICS","CV703"
"allopurinol",100,"MG",213995,"ANTIGOUT AGENTS","MS400"
"acetazolamide",125,"MG",211695,"CARBONIC ANHYDRASE INHIBITOR DIURETICS","CV703"
"allopurinol",300,"MG",213998,"ANTIGOUT AGENTS","MS400"
"alprazolam",0.25,"MG",141927,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"alprazolam",0.5,"MG",141928,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"albuterol",5,"MG",795358,"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION","RE102"
"hydrocortisone",20,"MG",884077,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"alprazolam",1,"MG",214003,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"amitriptyline",10,"MG",856812,"TRICYCLIC ANTIDEPRESSANTS","CN601"
"amiloride",5,"MG",977882,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"amitriptyline",100,"MG",856764,"TRICYCLIC ANTIDEPRESSANTS","CN601"
"amitriptyline",25,"MG",856836,"TRICYCLIC ANTIDEPRESSANTS","CN601"
"alprazolam",2,"MG",214004,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"ethanol",0.98,"ML",1869281,"THERAPEUTIC NUTRIENTS/MINERALS/ELECTROLYES,OTHER","TN900"
"amitriptyline",50,"MG",201696,"TRICYCLIC ANTIDEPRESSANTS","CN601"
"amoxicillin",250,"MG",153553,"H. PYLORI AGENTS","GA303"
"amoxicillin",500,"MG",94406,"H. PYLORI AGENTS","GA303"
"amoxicillin",500,"MG",94406,"PENICILLINS,AMINO DERIVATIVES","AM111"
"ampicillin",500,"MG",205812,"PENICILLINS,AMINO DERIVATIVES","AM111"
"antipyrine",54,"MG",543768,NA,NA
"benzocaine",14,"MG",543768,"ANESTHETICS,MUCOSAL","NT300"
"amantadine",100,"MG",849391,NA,NA
"thyroid (USP)",120,"MG",208544,"THYROID SUPPLEMENTS","HS851"
"ascorbic acid",1000,"MG",211869,"VITAMIN C","VT400"
"thyroid (USP)",90,"MG",208543,"THYROID SUPPLEMENTS","HS851"
"hydrocortisone",25,"MG",1291101,"HEMORRHOIDAL PREPARATIONS WITH STEROID","RS202"
"ascorbic acid",500,"MG",210767,"VITAMIN C","VT400"
"aspirin",81,"MG",211830,"NON-OPIOID ANALGESICS","CN103"
"amyl nitrite",0.3,"ML",577307,"ANTIANGINALS","CV250"
"ascorbic acid",250,"MG",199083,"VITAMIN C","VT400"
"zolpidem",10,"MG",854875,"SEDATIVES/HYPNOTICS,OTHER","CN309"
"thyroid (USP)",30,"MG",208535,"THYROID SUPPLEMENTS","HS851"
"thyroid (USP)",60,"MG",208540,"THYROID SUPPLEMENTS","HS851"
"amitriptyline",150,"MG",856775,"TRICYCLIC ANTIDEPRESSANTS","CN601"
"aspirin",325,"MG",211877,"NON-OPIOID ANALGESICS","CN103"
"hydrochlorothiazide",50,"MG",108966,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"amiloride",5,"MG",108966,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"aspirin",300,"MG",198464,"NON-OPIOID ANALGESICS","CN103"
"atenolol",100,"MG",201322,"BETA BLOCKERS/RELATED","CV100"
"thyroid (USP)",15,"MG",208534,"THYROID SUPPLEMENTS","HS851"
"atenolol",25,"MG",150750,"BETA BLOCKERS/RELATED","CV100"
"ammonia",150,"MG",1299889,"RESPIRATORY AGENTS,OTHER","RE900"
"atenolol",50,"MG",152414,"BETA BLOCKERS/RELATED","CV100"
"atropine",0.1,"MG",1190546,"PARASYMPATHOLYTICS","AU350"
"atropine",0.4,"MG",1190776,"PARASYMPATHOLYTICS","AU350"
"atropine",10,"MG",1190664,"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC","OP600"
"bacitracin",0.5,"UNT",1428830,"ANTIBACTERIALS,TOPICAL OPHTHALMIC","OP210"
"baclofen",10,"MG",202110,"SKELETAL MUSCLE RELAXANTS","MS200"
"benzonatate",100,"MG",208365,"NON-OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE302"
"bacitracin",0.5,"UNT",2391327,"ANTIBACTERIALS,TOPICAL OPHTHALMIC","OP210"
"betamethasone",5e-04,"MG",213555,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"bethanechol",10,"MG",857323,NA,NA
"bisacodyl",10,"MG",209603,"LAXATIVES,RECTAL","RS300"
"diphenhydramine",25,"MG",1049910,"ANTIHISTAMINES,ETHANOLAMINE","AH102"
"betamethasone",0.5,"MG",213541,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"biotin",10,"MG",240758,"HERBS/ALTERNATIVE THERAPIES","HA000"
"biotin",10,"MG",240758,"VITAMIN B,OTHER","VT109"
"aspirin",650,"MG",308411,"NON-OPIOID ANALGESICS","CN103"
"aspirin",650,"MG",308411,"SODIUM BICARBONATE CONTAINING ANTACIDS","GA110"
"bupivacaine",7.5,"MG",1724796,"LOCAL ANESTHETICS,INJECTION","CN204"
"calcium carbonate",1250,"MG",346210,"CALCIUM","TN420"
"carbamazepine",100,"MG",308974,"ANTICONVULSANTS","CN400"
"carbamide peroxide",65,"MG",1423297,"CERUMINOLYTICS","OT300"
"carisoprodol",350,"MG",202113,NA,NA
"sodium chloride",6.5,"MG",707359,"NASAL AND THROAT,TOPICAL,OTHER","NT900"
"chlorthalidone",25,"MG",214083,"THIAZIDES/RELATED DIURETICS","CV701"
"bacitracin",0.4,"UNT",1116154,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC","OP350"
"hydrocortisone",0.01,"MG",1116154,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC","OP350"
"neomycin",0.0035,"MG",1116154,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC","OP350"
"polymyxin B",10,"UNT",1116154,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC","OP350"
"chlorthalidone",50,"MG",831701,"THIAZIDES/RELATED DIURETICS","CV701"
"bacitracin",0.5,"UNT",213621,"ANTI-INFECTIVE,TOPICAL OPHTHALMIC,OTHER","OP219"
"polymyxin B",10,"UNT",213621,"ANTI-INFECTIVE,TOPICAL OPHTHALMIC,OTHER","OP219"
"chlorzoxazone",500,"MG",214097,"SKELETAL MUSCLE RELAXANTS","MS200"
"lorazepam",1,"MG",104719,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"clindamycin",150,"MG",853017,"ANTIACNE AGENTS,TOPICAL","DE752"
"clonidine",0.1,"MG",884175,"ANTIHYPERTENSIVES,OTHER","CV490"
"bacitracin",0.4,"UNT",209772,"ANTI-INFECTIVE,TOPICAL,OTHER","DE109"
"neomycin",0.0035,"MG",209772,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL OPHTHALMIC","OP350"
"polymyxin B",5,"UNT",209772,"ANTI-INFECTIVE,TOPICAL,OTHER","DE109"
"bacitracin",0.5,"UNT",213626,"ANTI-INFECTIVE,TOPICAL,OTHER","DE109"
"polymyxin B",10,"UNT",213626,"ANTI-INFECTIVE,TOPICAL,OTHER","DE109"
"dicyclomine",20,"MG",991088,"PARASYMPATHOLYTICS","AU350"
"clonidine",0.2,"MG",884187,"ANTIHYPERTENSIVES,OTHER","CV490"
"clotrimazole",10,"MG",152714,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL","DE250"
"colchicine",0.6,"MG",858071,"ANTIGOUT AGENTS","MS400"
"clotrimazole",10,"MG",261161,"ANTI-INFECTIVE/ANTI-INFLAMMATORY COMBINATIONS,TOPICAL","DE250"
"vitamin B12",1,"MG",2598453,"CYANOCOBALAMIN","VT101"
"betamethasone",0.001,"MG",213567,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"bee pollen",580,"MG",200366,"HERBS/ALTERNATIVE THERAPIES","HA000"
"vitamin B12",1,"MG",211965,"CYANOCOBALAMIN","VT101"
"cyclobenzaprine",10,"MG",828350,NA,NA
"clonidine",0.3,"MG",884191,"ANTIHYPERTENSIVES,OTHER","CV490"
"chlorpheniramine",4,"MG",1363321,"ANTIHISTAMINE/ANTITUSSIVE","RE507"
"caffeine",200,"MG",1490465,"NON-OPIOID ANALGESICS","CN103"
"capsaicin",0.25,"MG",1436929,"ANALGESICS,TOPICAL","DE650"
"vitamin B12",2.5,"MG",198891,"CYANOCOBALAMIN","VT101"
"cyclopentolate",10,"MG",1298352,NA,NA
"calcium carbonate",1500,"MG",790271,"CALCIUM","TN420"
"dapsone",25,"MG",197558,"ANTI-INFECTIVES,OTHER","AM900"
"desonide",0.5,"MG",1112785,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"carbamazepine",200,"MG",103911,"ANTICONVULSANTS","CN400"
"codeine",2,"MG",995872,"OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE301"
"guaifenesin",20,"MG",995872,"OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS","RE301"
"chlorpromazine",25,"MG",991196,"PHENOTHIAZINE/RELATED ANTIPSYCHOTICS","CN701"
"chlorpromazine",10,"MG",991041,"PHENOTHIAZINE/RELATED ANTIPSYCHOTICS","CN701"
"clindamycin",10,"MG",804975,"ANTIACNE AGENTS,TOPICAL","DE752"
"dexamethasone",4,"MG",1116927,"GLUCOCORTICOIDS","HS051"
"dexamethasone",1,"MG",351314,"GLUCOCORTICOIDS","HS051"
"glucose",500,"MG",727517,"PHARMACEUTICAL AIDS/REAGENTS","PH000"
"glucose",500,"MG",727517,"IV SOLUTIONS WITHOUT ELECTROLYTES","TN101"
"diazepam",5,"MG",207538,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"diazepam",10,"MG",104701,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"diazepam",2,"MG",104699,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"diazepam",5,"MG",104700,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"dapsone",100,"MG",197557,"ANTI-INFECTIVES,OTHER","AM900"
"carbamide peroxide",65,"MG",827654,"CERUMINOLYTICS","OT300"
"dicyclomine",10,"MG",991063,"PARASYMPATHOLYTICS","AU350"
"diltiazem",120,"MG",831055,"CALCIUM CHANNEL BLOCKERS","CV200"
"diltiazem",30,"MG",833219,"CALCIUM CHANNEL BLOCKERS","CV200"
"diltiazem",90,"MG",831137,"CALCIUM CHANNEL BLOCKERS","CV200"
"desipramine",25,"MG",1099302,"TRICYCLIC ANTIDEPRESSANTS","CN601"
"desoximetasone",0.5,"MG",891631,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"dexamethasone",1,"MG",197579,"GLUCOCORTICOIDS","HS051"
"digoxin",0.25,"MG",208137,"DIGITALIS GLYCOSIDES","CV050"
"cytarabine",20,"MG",213044,"ANTINEOPLASTICS,ANTIMETABOLITES","AN300"
"digoxin",0.125,"MG",309888,"DIGITALIS GLYCOSIDES","CV050"
"desoximetasone",2.5,"MG",94345,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"aspirin",81,"MG",1293665,"NON-OPIOID ANALGESICS","CN103"
"aspirin",81,"MG",1293665,"SODIUM BICARBONATE CONTAINING ANTACIDS","GA110"
"diphenhydramine",25,"MG",1094072,"ANTIHISTAMINES,ETHANOLAMINE","AH102"
"diazepam",1,"MG",755330,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"dimenhydrinate",50,"MG",284316,NA,NA
"diphenhydramine",50,"MG",1086807,"ANTIHISTAMINES,ETHANOLAMINE","AH102"
"dicloxacillin",500,"MG",207777,NA,NA
"dicyclomine",10,"MG",991069,"PARASYMPATHOLYTICS","AU350"
"atropine",0.025,"MG",1190637,"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC","OP600"
"diphenoxylate",2.5,"MG",1190637,NA,NA
"diphenhydramine",25,"MG",1092751,"ANTIHISTAMINES,ETHANOLAMINE","AH102"
"docusate",100,"MG",1247907,"STOOL SOFTENER","GA205"
"diethylpropion",25,"MG",978662,"CENTRALLY-ACTING APPETITE SUPPRESSANTS","GA751"
"docusate",50,"MG",1247761,"STOOL SOFTENER","GA205"
"docusate",10,"MG",1247754,"STOOL SOFTENER","GA205"
"docusate",100,"MG",1115010,"STOOL SOFTENER","GA205"
"doxepin",10,"MG",1000050,"TRICYCLIC ANTIDEPRESSANTS","CN601"
"doxorubicin",2,"MG",1799310,"ANTINEOPLASTIC ANTIBIOTICS","AN200"
"doxycycline",100,"MG",540575,"TETRACYCLINES","AM250"
"doxycycline",50,"MG",1101019,"TETRACYCLINES","AM250"
"doxycycline",100,"MG",205615,"TETRACYCLINES","AM250"
"diphenhydramine",2.5,"MG",1094418,"ANTIHISTAMINES,ETHANOLAMINE","AH102"
"epinephrine",0.1,"MG",727373,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"erythromycin",0.005,"MG",584534,"ANTIBACTERIALS,TOPICAL OPHTHALMIC","OP210"
"estradiol",0.1,"MG",890918,"ESTROGENS,VAGINAL","GU500"
"fentanyl",0.05,"MG",1735065,"OPIOID ANALGESICS","CN101"
"ergoloid mesylates, USP",1,"MG",205961,NA,NA
"doxorubicin",10,"MG",2001102,"ANTINEOPLASTIC ANTIBIOTICS","AN200"
"doxepin",25,"MG",1000074,"TRICYCLIC ANTIDEPRESSANTS","CN601"
"erythromycin",400,"MG",863606,"ERYTHROMYCINS/MACROLIDES","AM200"
"docusate",250,"MG",1247909,"STOOL SOFTENER","GA205"
"docusate",4,"MG",1247758,"STOOL SOFTENER","GA205"
"potassium bicarbonate",25,"MEQ",1088774,"POTASSIUM","TN430"
"erythromycin",20,"MG",206228,"ANTIACNE AGENTS,TOPICAL","DE752"
"ferrous sulfate",325,"MG",635970,"IRON","TN410"
"fluocinolone",0.1,"MG",1191313,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"fluocinonide",0.5,"MG",203993,NA,NA
"fluocinonide",5e-04,"MG",203994,NA,NA
"fluocinonide",0.5,"MG",93131,NA,NA
"fluorometholone",1,"MG",545243,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC","OP300"
"folic acid",1,"MG",542063,"FOLIC ACID/LEUCOVORIN","VT102"
"folic acid",0.4,"MG",105688,"FOLIC ACID/LEUCOVORIN","VT102"
"erythromycin",0.02,"MG",206210,"ANTIACNE AGENTS,TOPICAL","DE752"
"ferrous gluconate",324,"MG",198630,"IRON","TN410"
"furosemide",80,"MG",205732,"LOOP DIURETICS","CV702"
"gemfibrozil",600,"MG",205751,"ANTILIPEMIC AGENTS","CV350"
"gentamicin",1,"MG",205800,"ANTIBACTERIALS,TOPICAL OPHTHALMIC","OP210"
"gentamicin",3,"MG",205797,"ANTIBACTERIALS,TOPICAL OPHTHALMIC","OP210"
"glyburide",5,"MG",201064,NA,NA
"glycopyrronium",0.2,"MG",205885,"PARASYMPATHOLYTICS","AU350"
"haloperidol",5,"MG",1719669,"ANTIPSYCHOTICS,OTHER","CN709"
"ferrous sulfate",325,"MG",310324,"IRON","TN410"
"heparin",40,"UNT",1361607,"ANTICOAGULANTS","BL110"
"homatropine",50,"MG",992759,"MYDRIATICS/CYCLOPLEGICS,TOPICAL OPHTHALMIC","OP600"
"hydralazine",20,"MG",966571,"ANTIHYPERTENSIVES,OTHER","CV490"
"hydralazine",10,"MG",905201,"ANTIHYPERTENSIVES,OTHER","CV490"
"folic acid",0.8,"MG",285122,"FOLIC ACID/LEUCOVORIN","VT102"
"ferrous sulfate",60,"MG",310323,"IRON","TN410"
"hydralazine",100,"MG",905224,"ANTIHYPERTENSIVES,OTHER","CV490"
"hydralazine",25,"MG",905227,"ANTIHYPERTENSIVES,OTHER","CV490"
"hydralazine",50,"MG",905397,"ANTIHYPERTENSIVES,OTHER","CV490"
"glycine",15,"MG",310571,"IRRIGATION SOLUTIONS","IR100"
"fluocinolone",0.25,"MG",1191319,"ANTI-INFLAMMATORY,TOPICAL","DE200"
"hydrochlorothiazide",50,"MG",542854,"POTASSIUM SPARING/COMBINATIONS DIURETICS","CV704"
"hydrocortisone",10,"MG",701983,"GLUCOCORTICOIDS","HS051"
"hydrocortisone",25,"MG",206282,"GLUCOCORTICOIDS","HS051"
"hydrocortisone",0.025,"MG",206319,"GLUCOCORTICOIDS","HS051"
"hydrocortisone",25,"MG",206284,"GLUCOCORTICOIDS","HS051"
"hydrocortisone",0.01,"MG",206316,"GLUCOCORTICOIDS","HS051"
"hydrocortisone",25,"MG",1291292,"GLUCOCORTICOIDS","HS051"
"hydromorphone",2,"MG",897698,"OPIOID ANALGESICS","CN101"
"hydromorphone",4,"MG",897704,"OPIOID ANALGESICS","CN101"
"hydroxyzine",10,"MG",995220,"ANTIHISTAMINES,PIPERAZINE","AH105"
"hydroxyzine",25,"MG",995266,"ANTIHISTAMINES,PIPERAZINE","AH105"
"ferrous gluconate",300,"MG",198627,"IRON","TN410"
"hydroxyzine",25,"MG",995255,"ANTIHISTAMINES,PIPERAZINE","AH105"
"hydroxyzine",50,"MG",995280,"ANTIHISTAMINES,PIPERAZINE","AH105"
"hyoscyamine",0.125,"MG",1047935,"ANTISPASMODICS,URINARY,OTHER","GU209"
"ibuprofen",200,"MG",201118,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"ibuprofen",400,"MG",206905,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"ibuprofen",600,"MG",206913,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"gentian violet",10,"MG",310481,"ANTI-INFECTIVE,TOPICAL,OTHER","DE109"
"ibuprofen",800,"MG",206920,"OPIOID ANALGESICS","CN101"
"hydrocortisone",20,"MG",208816,"GLUCOCORTICOIDS","HS051"
"imipramine",25,"MG",102551,NA,NA
"indomethacin",25,"MG",105858,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"indapamide",2.5,"MG",202225,NA,NA
"indomethacin",50,"MG",105856,"NONSALICYLATE NSAIs,ANTIRHEUMATIC","MS102"
"isoniazid",300,"MG",541701,NA,NA
"isoproterenol",0.2,"MG",1667916,"SYMPATHOMIMETICS (ADRENERGICS)","AU100"
"ketamine",50,"MG",206972,"GENERAL ANESTHETICS,OTHER","CN203"
"lysine",500,"MG",643142,"AMINO ACIDS/PROTEINS,ORAL","TN503"
"insulin, regular, human",100,"UNT",311036,"INSULIN","HS501"
"furosemide",10,"MG",1488537,"LOOP DIURETICS","CV702"
"levothyroxine",0.025,"MG",966155,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.05,"MG",966159,"THYROID SUPPLEMENTS","HS851"
"potassium bicarbonate",25,"MEQ",1537082,"POTASSIUM","TN430"
"levothyroxine",0.075,"MG",966168,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.1,"MG",966403,"THYROID SUPPLEMENTS","HS851"
"loratadine",10,"MG",206805,"ANTIHISTAMINES,OTHER","AH109"
"levothyroxine",0.125,"MG",966284,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.15,"MG",966460,"THYROID SUPPLEMENTS","HS851"
"levothyroxine",0.2,"MG",966209,"THYROID SUPPLEMENTS","HS851"
"lidocaine",0.02,"MG",1012583,"ANESTHETICS,MUCOSAL","NT300"
"guaifenesin",20,"MG",213138,"DECONGESTANT/EXPECTORANT","RE516"
"gentamicin",0.001,"MG",205803,"AMINOGLYCOSIDES","AM300"
"lidocaine",20,"MG",1013089,"ANESTHETICS,MUCOSAL","NT300"
"hydroxyzine",50,"MG",995283,"ANTIHISTAMINES,PIPERAZINE","AH105"
"lithium carbonate",150,"MG",311355,"LITHIUM SALTS","CN750"
"loperamide",2,"MG",978009,"ANTIDIARRHEAL AGENTS","GA208"
"loperamide",2,"MG",212286,"ANTIDIARRHEAL AGENTS","GA208"
"lorazepam",0.5,"MG",206821,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"haloperidol",2,"MG",206061,"ANTIPSYCHOTICS,OTHER","CN709"
"lorazepam",2,"MG",206828,"BENZODIAZEPINE DERIVATIVE SEDATIVES/HYPNOTICS","CN302"
"magnesium citrate",58.2,"MG",1245168,"HYPEROSMOTIC LAXATIVES","GA202"
